"comment","user_id"
"Она как ангел...","547"
"Omg she is 18 😱🥺 so beautiful voice ❤️","37"
"""I see new cover made by Emily Sie","792"
"woah. thas it. her voice is *CHEFS KISS*","998"
"Her voice is so cool and nice","668"
"""Aaaaaaahh","899"
"The colour pallet of her room fits this song!!","215"
"Your voice is so sweet 🥺🤏🏻!","864"
"Your voice is so addicting","249"
"""Your voice","755"
"Could you sing a cover of 'BBI BBI' by IU？","377"
"feel your soul feel your voice just feel it","413"
"Wow can't believe that your voice is so lovely","883"
"omg ur voice is angel","543"
"The best in providing cover .","805"
"""I like your voice","80"
"I want your voice 😭💜Woow is so magic !","805"
"""you look soo cute","756"
"Your deep notes ✨ is just wow","33"
"Awww BTS 🥺💜","610"
"""Great voice","440"
"omg her voice is sooooo gooodd 😭💜","83"
"SUCH A BEAUTIFUL VOICE","744"
"rap line parts are my favssssss","116"
"Life goes on cutest ver. ☺️","403"
"天使໒꒱· ﾟ","648"
"She sings so well 😍😍","854"
"IM IN LOVE WITH THIS","48"
"She is the future idol star","524"
"Fine by taeyon pleasseeee 🥺🙏🙏","157"
"""Omg ","470"
"you're so angelic.","540"
"what a awesome voice! 🥺❤","519"
"So cute!!❤️","937"
"❤️❤️❤️life goes on❤️❤️❤️","413"
"Your voice is so soft <3","107"
"So Cute 💜","274"
"NCT U From Home (Rearranged Ver.) pleaseeee","17"
"She's so talented","934"
"new crush ^-^","431"
"Your voice so quiet and soft","625"
"""OH YOU""""RE JUST TOO CUTE.""","93"
"Her voice is so cute oemji❤️","903"
"youre so talentedd!!","872"
"""Wow","376"
"You've such a relaxing voice!❤","294"
"wow she can be a next idol","612"
"Omg the grey🥰🥰and ur voice omg","500"
"""нежно и успокаивающе","583"
"""Hey loves","784"
"Jimin and v  have same sense","41"
"Vmin are true soulmates","362"
"I think V knows everything about jk","286"
"""Who said there aren't soulmates","410"
"RM is sooo cute maahn","806"
"Taeyhung knows jungkook's wall color 💜💜 omoo","558"
"My taekook heart🤣🥰💜","273"
"Vmin and taekook moments ugh💜💜💜💜💜🙆","744"
"What's wrong with Jin....at 3:10😂😂😂😂😂😂","647"
"Vmin 💜💜","746"
"0:00- Sin 7:10- R&V 11:36- 3Js","501"
"""SO HERE'S THE THING","553"
"Suga looks too handsome nd cute","340"
"Suga is very talkative 💜😂","600"
"Vmin is so cute ❤😘 JIHOPE ❤","873"
"That Suga + jin = sin            😭","552"
"Jimin & jk so cuteee 😍❤️❤️❤️😘","718"
"""This is gold.  I've been an Army since Dec '18","172"
"""My 7 huggable babies","379"
"Such cuties I want to see taekook","104"
"How rm and v room are connected 🤔🤔","28"
"Thank you for the English captions!!!!!","82"
"Yoonjin😢😢😢😢 I love them","217"
"""Okay this might seem irrelevant but at 10:57 ","766"
"Taekook And Vmin 💜","898"
"Vimin😇🥰","94"
"Thanks for uploading I'm a new army","608"
"Vmin","558"
"0:28 Hobi 😂 💀","237"
"💜💜💜","87"
"Set j💜💜💜💜💜","516"
"Fun fact: jit means triump in hindi. 2:12","600"
"BTS iam biggest army of  u","672"
"Telepathy ☺️","685"
"Vkook and Vmin😍😍😍","201"
"Minkook","89"
"Minkook","152"
"Jit...sounds like'jeet' Any Indians here?!🤭😜","778"
"Vmin😂","488"
"Taekook🐯🐰 Jikook🐥🐰 Vmin🐯🐥","853"
"And they were roomates","567"
"What bts show is that ?","343"
"Not the telepathy hint","436"
"It is a love story?? Please say 🥺","386"
"Oh yes Jin scolding Y/N is the best thing ever","413"
"""9:17 Jin's next rap called """"Pain killer""""😂😂""","652"
"""Reading this","726"
"We all know where the 7 dislikes came from 😬","948"
"""IF i was y/n and Tae will rub my stomach","472"
"Feels like I have 7 boyfriends","934"
"I NEED BROTHERS LIKE THEM PFOJDKXNX.","335"
"I want more of this kind of Fiction","78"
"uhm- you shoul-dnt be dancing while on periods-","556"
"""Just so you know","742"
"Perfect timing to watch it .","160"
"Im here!!","41"
"""So here's the thing","102"
"Me jamming to background music-","851"
"Happy New year 🥳💜 nice ff💜","124"
"""If I’m really the 8th member","966"
"Omg Jin start rapping again 😂😂😂","910"
"best award of mother goes to jin......","406"
"Lmao I love Jin's Aduttuide in this it's the best","657"
"""Hello","648"
"""That nickname """"cupcake"""" stole my heart 😭💜💜""","45"
"""""""But this is dance practice room"""" 😂😂""","909"
"Pleasee- 😭🤚🏼 Jin rappin again-","95"
"The way Jin gets mad 🤣🤣🤣🤣🤣🤣🤣","473"
"jk hugging her becoz she had a stain was cuteeeee","389"
"""No food for u","548"
"""I am in a full awe right now","974"
"Why they are so caring I'm crying","264"
"""Jin oppa is so","84"
"Please make more Y/N as the 8th member","236"
"""Honestly","29"
"aw thanks for this! <3","283"
"Thank you so much 😊💜","40"
"thank you‼️‼️😘","763"
"Bts rewind 2020 reaction mashup plz 💜💜","836"
"Good. I wait for love from you 💝💖","657"
"Kamsahamnida!","198"
"😍","231"
"😁😁😁😁😁","416"
"Will u update again","180"
"This is realy reaction???","825"
"Happy new year Liyon shi 😍😍🥰🥰🥰🥰🥰🥰🥰","895"
"Omg!!!❤","264"
"OMG this is 💣","880"
"YEY OMG HAPPY NEW YEAR!!!","497"
"This is best Edit ever😍💖","128"
"""So so so so so so so so so so POWERFUL","123"
"First 😘 Lovely ❤️👍","25"
"Love y'all ❤❤❤","643"
"beautiful happy new year ☃️🎄🎅","226"
"They're hottest!!","659"
"Amazing😁😁😁😁😍😍😍😍","358"
"OMG!💓💓💓","736"
"""Even if they’re not together","363"
"Good Job 💜🎀💙 This fmv is so hot 🔥🔥🔥","500"
"Good Job 💜🎀💙 This fmv is so hot 🔥🔥🔥","757"
"""Wait...Unnie","329"
"Hope to see LK in the future. ❤️","587"
"Can you do the video for tai from bangtan blazers","25"
"グクちゃんもLiSAも大好き💜 ステキな2人💜","423"
"This is amazing 😍💜💛","9"
"Sweeeeet 🌹","323"
"OMG SON TAN HERMOSOS 💞💗💓","28"
"😻😻💞","186"
"Perfectttt😍😍😍💜💜💜","137"
"""Lisa","583"
"You videos soo really super❤","656"
"Happy new year lizook 🥰🥰🥰🥰🥰🥰🥰💕","246"
"LizKook cute👌","299"
"Love..u..liskook","889"
"😍😍😍😍","953"
"Обожаю 😍 Снова шедевр! Браво 👏 С новым годом! ✨","32"
"Your work is JUST PERFECT.","227"
"loved it","497"
"Love lizkook","26"
"Im late👁💧👄💧👁 but i LOVE it 💜💜💜💜💜","82"
"Lisa","252"
"""Ты русская или","683"
"O M G 😘😘💓💓💓💓","307"
"Lõvê lisa🐰🐰🐰","955"
"Happy New Year ❤️❤️❤️❤️","345"
"Grazie per avermi risposto","95"
"Can you bring a new story 🤔🤔💭","926"
"frinds💖","889"
"Oh my god i loved","357"
"Hppy Laslikook 😍😘","223"
"So sweet 💞 Lizkook❤️❤️❤️😍😍😍","776"
"Popular opinion : we all want a longer version","432"
"😍😘😙💏💑❤💞","395"
"?","514"
"Theyvlook good together tbh","18"
"yes👍🏽👍🏽","599"
"Loved it 🤩🤩🤩🤩😍","925"
"😀😃","903"
"I love it❤❤😍","796"
"Ur best editor i ever seen","487"
"Both are 🥵🥵🥵🥵🥵","850"
"Bleak  🖤❣️🖤❣️🎤👌","659"
"SOOOO GOOD","758"
"Your liskook is still edit but the edit is good","63"
"Liyon Shi is the best YouTuber ever","362"
"Jungkook wawa lisa","310"
"LISA JK &JUNGKOOK","354"
"I should say sorry cuz im late😀","52"
"WoW😁✌️","269"
"♥️♥️♥️♥️♥️♥️","273"
"I love lizkook so much 💗🖤🧿","144"
"Exclusive","444"
"My 💘💘💘  Oh  💘💘💘  My  💘💘💘","350"
"Awesome you are the best","333"
"My oh my 👍😘","107"
"Liskook❤😭","288"
"Go go lizkook but there editing","768"
"SoSososo🙃","307"
"OMG!!!","754"
"Wow","307"
"fotoshop","277"
"what does fmv mean","312"
"Liskook is life","713"
"Meu casal","340"
"#LİZKOOKFOREVER 💗🔥","56"
"💖 Forever Lizkook 💖","247"
"This was toooooo much girl","676"
"#ArmyBlinksmarriedagain","105"
"Love LISKOOK 💋❤","357"
"Jungkook dan aku seharusnya","730"
"Yoongi cant say no tete cause he loves tete","235"
"""Jhope once said """" Thanks to  Taehyung","193"
"Jk can't say not to Tae Tae is so cute 💜","455"
"Every body say noooooo until Taehyung appears","354"
"yoongi's soft spot for tae is the most adorable..","971"
"Anybody would think he's the maknae😂💜","760"
"tae truly is their baby :(","131"
"Lil meow meow can't say no to his tiny baby bear","575"
"They all have soft spot love for Taehyung","888"
"Yoongi and Tae have the sweetest bond.","603"
"""Taetae is so irresistible","413"
"Who can say no to my baby bear💜💜🥰🥰🥰","494"
"""Believe it or not","956"
"""what did his mother give him to eat","689"
"Especially suga","586"
"""Super Taehyung","169"
"The real baby of Bangtan 🥰😍","965"
"SO CUTREEEE","265"
"My taetae is baby bear love uuuuu","419"
"""Hi","503"
"V is so lucky to having like this family","884"
"0:50 😍😍😊🤗💜💋","53"
"Cutest video! 🥺🥺🥺💜💜💜🌼🌼🌺🌸❤❤","204"
"mwah... Was very funny 😂😂😂","449"
"""If i can","934"
"LOVE U V 💕💕💕","362"
"Cutiess  Just love them","943"
"ITS SOOOOO   ADORABLE!!!!!!!!!!!!!!!!!","904"
"Yes it true bts never say no to tae","494"
"2 : 43..🤣😍😛","866"
"0:38 where's this clip from which event is this","458"
"Luh ako lng ba nakakita ng Abs-Cbn logo-?","573"
"0:31 why ABS-CBN was there? where was that","100"
"I'm convinced he's a baby :)","241"
"you love vmin ?","273"
"lol","854"
"Beautiful ❤️❤️","356"
"Soo cute Queen ❤️","477"
"Beautiful  somya","17"
"15:00 how she is carrying her dress 😅🤣","927"
"queen♥️","282"
"So lovely and beautiful queen","858"
"Omge that's so beautiful 💖","97"
"Queen❤❤❤❤❤❤","668"
"Queen ❤️❤️❤️❤️","991"
"Bts armyyyy fightingggggg💜💜💜💜","982"
"The queen of red 🌹❤️","878"
"Imagine getting heart❤from somya diii🥰","68"
"So Beautiful","160"
"Beautiful  queen","639"
"You like a angel🥰🥰🥰","666"
"Beautiful ❤️❤️","933"
"So pretty","608"
"It's so pretty ❤️😍👑","151"
"So beautiful somiya ❤️❤️","951"
"Who want see somya daundkar clothe's colloction","907"
"OMG You look like a princess wow... 😘❤️","933"
"Di we want your home tour 💙❤💚💛🧡💜🖤","425"
"How beautiful ❤️❤️","500"
"So Beautiful queen","722"
"So pretty❤❤❤","677"
"I want this as my birthday dress 👗❤️","799"
"Beautiful queen💖💕💞👌👌","66"
"Awesome di amazing rocking 😍😍","331"
"Princess ♥️♥️","974"
"oh my God  cuts and sweet","443"
"Soooo beautiful 😍😍♥️","953"
"Reacting to my fan edits 😼💛","71"
"So beautiful ❤️❤️","610"
"""Looking so much beautiful sis ","546"
"So beautiful❤","503"
"Beautiful ❤","752"
"Gorgeous","466"
"Beautiful❤","362"
"Beauty queen 👑","677"
"Seriously so beautiful","546"
"Beautiful❤❤❤","139"
"BTS army ur superb","375"
"You look so pretty","758"
"So beautiful😍","796"
"Fabulous ❤❤❤","325"
"She is looking beautifull💓💓","60"
"So cute 😍","574"
"But before makeover...u were looking much cute!","800"
"Looking good somya💕💕😘","973"
"Mashallha","715"
"I have same copycat shoes ❤","112"
"Beautiful 💗","5"
"Beautiful ❤️❤️","636"
"Beautiful ❤️❤️","374"
"Thanks somya for following mi on mx takatak","668"
"You look just like a Princess 🤗🤗","463"
"Beautiful 😍","995"
"So beautiful 😍 💖","498"
"You are really entertaining diii","808"
"So beautiful ❣️❤️❤️","334"
"Beautiful 😍","30"
"beautifull❤❤❤❤❤","741"
"And you're looking so beautiful in this dress","267"
"Beautiful ❤❤❤","381"
"I want that dress😍😍","686"
"Good frnd circle .🤗😊","6"
"Happy Republic day somya didi ❤❤","791"
"You are looking so cute somya didi","609"
"""Naughty: Jimin","500"
"Naughty jimin and pure soul jin","830"
"""If anyone has forgotten ","639"
"""Yoongi is the least perverted","799"
"5:23  Jin be like: whyy whyy look down ⬇️🤣","84"
"""The perverts are hobi","407"
"Jimin and RM has the dirtiest mind 😂🤣💜","406"
"""namjoon: “wait","100"
"Others:Talking dirty things Jin:HEY. STOB IT!😂💜","65"
"0:05 RM is like : thanks me later 😆😆","965"
"lol 5:25 jin looks like he gonna throw up lmao","696"
"""Jungkook: """"my name is Jungkook","540"
"Jin is the only purest out there😂💜","150"
"""Personally","499"
"*Everybody want Seokjin* 💜","969"
"How many worldwide handsome fans here.....","918"
"0:04 Joon said ✨ur welcome ✨","923"
"Jin is soo innocent and pure soul in the group","523"
"""2:51","754"
"The first clip Namjoon was like: Your welcome 😌","733"
"""👑💜🥴RM and Jin","763"
"WE SHOULD ALL SAY THANKYOU TO NAMJOON 😭✊ (0:03)","222"
"We all know that the most dirty mind is RM...🌝","451"
"jimin is very N.A.U.G.H.T.Y. 😂😂😂😂","645"
"""so basically it's namjoon ","695"
"8:32 jhope didn't get it 🤣🤣 honest boy","590"
"Baby Jin and Kookie is so innocent 🥺💜💜","57"
"6:25 shy taetae bcos of holding hands me: dead","268"
"Ahhh poor jinnie 😂so innocent","584"
"1:50 LMAO look at jungkook","763"
"3:13 poor Tae baby 😂😂","357"
"9:23  I laughed so hard on this. 🤣","194"
"0:34 V's reaction was priceless😂","415"
"I like Jin the most","125"
"Jimin and RM are the real perverts 😂😅","377"
"Jin's laugh 🤣🤣😂😂😂 heh heh heh 😂😂😂😂🤣🤣🤣","672"
"""I wanna say","991"
"02:52 WHY HAVE I NEVER SEEN THIS CLIP BEFORE","316"
"Jin being confused at 5:25-5:27😂😂","803"
"Jimin the dirtiest mind😏 and jin the pure soul😉","343"
"0:04 thank u namjooniee🌝😂","256"
"""Jimin = Everyone ","714"
"Who loves our 7 WONDERS 👇💜","737"
"""""""Everyone is beautiful","688"
"""Mc was panicking when the 7members bow down too","404"
"""""""Moa-ah","522"
"Who love Taehyung??","929"
"Any Indian army hare😘💜💜","667"
"1:44 RM: just wait till we get home...","561"
"""Never failed to make us laugh","286"
"I miss old Tae and suga","381"
"8:36 Suga's laugh😍😍😍","918"
"8:04 Vmin so cute 😍💜","745"
"BTS 7 fantastic superSTARS ❗💣😘💥❗👈👍✌","255"
"3:53 i literally died of laughter 😂😂","244"
"3:54 Jin really you made me cry laughing","643"
"“Have everyone zipped the pants yet”😂😂","300"
"6:37  RM : shy  Me : die","298"
"1:44 Namjoon's eyes haha","532"
"""V :This is live broadcast","508"
"""7-1=? Me- 7-1=0  Also me-*Exactly","608"
"""did anyone see V make this face """"😑"""" in 6:20""","229"
"""😂😂😂its yoongi walking ","371"
"1:45 RM 😂","887"
"""BTS every videos make my smiles 😊 ","212"
"9:44 😂😂😂😂😂","421"
"Jin!!","962"
"5:53 best 🤣🤣🤣🤣🤣🤣","626"
"9:44 what are you doing jiminaa😂😂","708"
"""2:14 For a second","532"
"1:44 me mata la cara de nam😂😂😂","925"
"No one: Literally no one: Every Subtitles : 😂🤣","683"
"These days Namjoon is the biggest Bias wrecker","10"
"""3:55 OMG","223"
"8:52 I think Jin was sleeping with eyes open 😁😁","226"
"""They're so perfect at being normal ","147"
"RM’s glare at Taehyung is hilarious 🤣","425"
"""Watched these already","844"
"1:41 RM is like see this is Vmin","797"
"#音ゲー2週間チャレンジ しよう！ コメント欄に毎日の記録をかいてね！  例: 1/2 〇 1/3","559"
"自分の推しが歌ってる所が来ると 本気出す女wwwwwwwww","6"
"他の曲しんどすぎてDynamite楽しい案件","686"
"今までスキニー履くのひと苦労だったんだけど、めっちゃスルッって履けて爆笑しちゃった","958"
"自分もそうだけど一部の人が途中で消えてるのを見て続けられる人って少ないんだなって思う","514"
"グクの好きな女の子のタイプに足が綺麗な子が入ってたのでこれ頑張りますめっちゃ楽しいです🐰","842"
"いっつも三日坊主だけど1週間以上続いてる❕偉い❕褒めて（（","202"
"ARMYにはめちゃくちゃ嬉しいです！！！ 頑張る！！！","730"
"忘れないように皆いいねお願いします❤  2月28日🙆🏻🙆🏻","385"
"これをやった次の日はとにかくうちももの筋肉痛がすごい!これからも頑張る!","702"
"BTSは嬉しすぎ、もっとBTSして欲しい🥺🥺","773"
"リクエストが多かったDynamiteを動画にしました！お待たせです！","565"
"大好きな、テヒョンを思い出して♥️ テテ推しのひといる？","212"
"推しの曲だから、やる気になったわ。ありがとうございます。","927"
"dynamite好きだから毎日続けてしてるのに なぜ細くならないのだ…私の足よ","18"
"巻き肩や反り腰解消の音ゲーチャレンジもあると嬉しいです😆","761"
"足パカで美脚目指すだけじゃなく、慣れるまで脳トレにもなりそうないいテンポ","274"
"え、びっくり普通にきついし、そんな後半そんな足開かない…、、すごい！！頑張ろ（ ;  ; ）","758"
"Eveさんの廻廻奇譚の足パカやって欲しいです(っ ॑꒳ ॑c)","871"
"私立入試終わったら好きな人と出かけることになりました！！その日までに 頑張っていきます","439"
"やっぱ続くのは推しの曲を聴くために生きてるからかな","402"
"推しのことを考えてたら、すぐ終わった！","603"
"MAMAMOOのディンガで作って欲しいです🥺","180"
"結構キツかった笑 リクエストなんですけどHoneyWorksの曲でしてくれると嬉しいです！","313"
"思って以上にキツかったです😅😅 まずは2週間続けてみます！！","180"
"Astroの曲でもやってもらいたいです！😭😭","957"
"サビで何回も絶望😂😂","226"
"1日2セット頑張ります！！ 3/30〇 3/31〇 4/1〇 4/2〇","833"
"次もしできたらNiziUのStep and a  stepでやって欲しいです！！","952"
"ダイナマイト好きな人が踊ってたから今でも頭の中に残ってるw     かっこよかったぁ。","253"
"なんか、慣れてきたww","353"
"この三日坊主の私がどれぐらいできるか 2/23 ⭕️","830"
"勝手に膝が曲がってるんだけど‪w","434"
"これ腹筋もキツいwww","764"
"さていつまで続くか。 3月25日 ○  あれ、もう終わってた(4月1日)","942"
"推しのグループの歌で足パカやれる幸せ。大声で歌うから、腹筋にもいい！！！オガトレ最高！！！","820"
"IZ*ONEの曲でお願いしたいです🥺🥺🥺","274"
"膝を伸ばそうと思っても、身体が硬いせいかまっすぐ伸ばせない…💦","20"
"膝曲げる時めちゃくちゃごりごり言ったΣ(ﾟдﾟ；)","470"
"最後までやったら足もぎとれそうになった😇","171"
"100コンボの時と終わった時の 「キン！！！！」好きです","632"
"大好きな曲なのにこれきっかけで聞くのが苦しくなりそう笑","645"
"股関節バカ痛い😣 けど頑張る！！","132"
"Jungkook really said fawks😻👍✊","506"
"""I love """"life goes on"""" my fav ♡♡♡""","160"
"I love bts soooo much😘😘😘","630"
"""I LOVE """"LIFE GOES ON"""" MY FAV💗💖💗💖""","514"
"muy bueno el album","613"
"I LOVE YOU BTS ~♡","727"
"画像のVのビジュが良すぎて…✨","325"
"everything just hits different","286"
"I love you jimin💜🐣","2"
"Luvvv this playlist 💜💜💜","543"
"Oooooo this playlist is good ♡♡","453"
"BTS ARMY I purple 💜 you","696"
"""EU AMO DEMAIS  ESSE POVO(;<3 AS B-ARMY","92"
"Love you BTS BTS 💕💖💓💖💕💕💞","109"
"yeah life does go on😭😭😭","367"
"SARANGHAE BANGTAN","937"
"나는이 재생 목록을 사랑 감사합니다.","456"
"나는이 노래를 너무 좋아해 .... 너무 행복하게","357"
"노래좋다~♥","849"
"""Oh my gosh","513"
"방탄 최고","207"
"💕💓💓💓🥰 thanks a lot! I’m really happy!","737"
"봄날 좋음","238"
"사랑한데이 ~♡","231"
"저도 공부하면서 듣는데  집중이안되고 계속 따라불르고있네욬ㅋ","235"
"Me encanta el álbum la escuché mucho 👌","874"
"love your playlist!","952"
"amo a familia BTS...","836"
"돌아가곱구만요ㅎㅎ  방탄과  같은나이대로ㅎㅎ노래가너무좋다ㅠ","463"
"K❤ Ki❤❤ Kim❤❤❤ T💙 Ta💙💙 Tae💙💙💙","948"
"I also like your hair it’s my fav","453"
"BTS los amo mucho ❤️","149"
"""BTS los amoooo ","109"
"👏👏👏","93"
"💜💜💜💜","126"
"i ove jimin","64"
"💜💜💜💜💜💜💜FOREVER","947"
"tachue nam ora nih wiri🤩🤩🤩🤩🤩🤩","754"
"ilove you v","733"
"Sumpah lagu nya enak banget","124"
"💓💓💓","20"
"Ilked bts ilveyou jangkook7","727"
"""Aku tuh nonton ni waktu mau ngerjain tugas","46"
"N.O nya mana","46"
"My love B T S!!! I love you!!!!!!","109"
"Finally Savage Love is added!","445"
"Bolehkah tiada iklan 😑","644"
"enak banget suaranya","70"
"良いい曲だね😍😍😍😍😍😍全部❤❤❤❤","837"
"me encantan todas las canciones 👏👏","730"
"Aku sangat sukak lagu mereka mimber bts","535"
"i love  you  bts","239"
"Hii","113"
"so  nice .........   i  like  you all","568"
"i love it","695"
"Me gustaa j- hope jimin v y tam bien jungkook","66"
"Hola 😙 mañana","503"
"Kebanyakan  iklan","765"
"bts is love","868"
"Wowwwww🥰🥰🥰🥰🥰","607"
"Hiiii bts","545"
"#FOREVERANDCUTESUGA!!!","758"
"HOW MANY INTERNATIONAL    BTS fans are here ?","612"
"Iya","924"
"Hola 👋😘","11"
"My love bts","227"
"☺😀😄😙","75"
"""When Hobi leads a Dance break","339"
"""things you could watch forever: burning fire","200"
"j-hope is the beat","268"
"I can’t get tired of watching him dance.","658"
"J-hope is a dance *LEGEND* ✨👑","701"
"""When he dances","474"
"""His control  over moves","133"
"EXTRA PLUS ORDINARY!!!!","45"
"A sight for sore eyes our main dancer","4"
"Thank you for your hard work so much","224"
"jhope owns the stages. hes awesome 👍🏻❤️❤️","741"
